word,meaning
aslag,Light from heavenly body; place where the sun rises; east
aslam,Light from heavenly body; place where the sun rises; east; vinegar; sour; add vinegar to something; aslam use something to sour
aslat,Caught in broken aspak; crack; cracked; apayaspak
astaka,Stake; astaka place stakes; bound with stakes
asu,Asu dogs (in place)
asuk,See dictionary entry
asul,Blue; asul dark blue; asulasul light blue; wearing blue clothes
asung,Mortar
aswang,Frightening spirit creature; said to prey on corpses and unborn; made victim by an aswang
aswe,Comb. harrow; aswe use harrow. comb; have hair combed by another
asyag,See dictionary entry
asyas,Post (e
at,Post (e.g. and; Sometimes that; as: at bala its good that you know
atab,See dictionary entry
atad,Escort away from home to another place; atad
atake,Attack; stroke; victimized by stroke
atbu,See dictionary entry
atcan,Stomach; hit someone in stomach
atcaq,Stomach; hit someone in stomach; throw; threw; throw something to somebody; ayatca. style; place something was thrown
atcara,See dictionary entry
atcing,Sneeze; is sneezing
atcu,See dictionary entry
atduq,See dictionary entry
ate,See dictionary entry
ati/atin,There is/there are; wealth; be wealthy
atik,See dictionary entry
atlu,Money; wealth; three. third; third time; -three. Feast of Three; constellation
atni,See dictionary entry
atras,The back; rear; retrogress
atrasu,Omission; failure; atrasadu late. atcaka and also. later
atsi,Older sister; Also used as term of polite address to women; as: Atsing Edad; Atsing Son
atut,Atyesa/ atcesa
aul,Guess something; ula-
aunus,Portion; share
aus,Call; summon. aus; call someone
awak,Large bird of prey; crow or hawk
awakan,Waist. /- yawad; menyad/; inyawad/inawad; yawad
awang,Window
awe,Kind of similar in appearance
awni,Alternate form for oini
awta,See dictionary entry
ayri,Works by of air
ayun,Alternate for oita; works by of air; agree go along earthquake; earth is quaking
ayup,Bird. -pan
aywe,Highway
ba,(Subcombiner) in order to
ba:bagwaq,Spider. babagwaq singgagatu; babagwang bale; babagwang
ba:gyaq,See dictionary entry
ba:laq,Responsibility; warning; concern as: you are in charge; you decide. doesnt; warn someone about something; give one responsibility; the government
babai,Coconut shell. bikan lalaki (top half of c.s.); bikan babai (lower half of c.s.). skull
babaq,Low place; underneath; old name of the town now called Lubao; babaq; lower; put down; disclose; set forth; babaq lower something; baba go down; have something brought down; ababaq
babiq,See dictionary entry
bablas,Get dressed; bablas be dressed; dress someone else
babo,Chin; low place; underneath; old name of the town now called Lubao; babaq; lower; put down; disclose; set forth; babaq lower something; baba go down; have something brought down; ababaq; woman; binabai wife; binabai girlhood; / pursuing women; wild; binabiq careless; binabiq be careless; act like; get dressed; bablas be dressed; dress someone else; Prep.) up; upstairs; above; put something on top; able to go on top; leading (in election); -paliq easily angered
babuq,Childrens word you fall
bagang,Molar tooth
bagaq,See dictionary entry
bagasu,See dictionary entry
bage,Compatible; something to something else; thing; object; affair. small things; details
bagin,Vine; bagin swing on vine
bagsik,Pulp; the of the sugarcane which is discarded after; sawdust; compatible; something to something else; thing; object; affair. small things; details; vine; bagin swing on vine; be cruel; annoying; babagsik harrass
baguk,Fermented foods
bagun,Railroad car. baguneru conductor; bagun use railroad car to carry
bagut,Draw; chance or turn; withdraw something; pull something out; withdrawn; little bit.bagyaq little-; tropical storm; typhoon. showoff; babagyu typhoon is blowing
bagyu,See dictionary entry
bagyus,Feathers; long wing feathers
bah/abah,See dictionary entry
bain-tau,See dictionary entry
bait,Bait; bait something; apan put out bait; bait each other
bakal,Bakan/ bakante
bakas,Sign; babakas; make; something; have something
bakbak,Lunch; food carried along when on trip; bakal carry ones lunch; able to carry something; unoccupied; sign; babakas; make; something; have something; scar; scab; skin; off something
bakit,See dictionary entry
baklad,Canal in fishponds or sea
bakle,Yoke. warp; or woof; in weaving; bakle; bikle put something across something else; out of condition; in bad mood
bako,See dictionary entry
bakse,See dictionary entry
bakud,Yoke. warp; or woof; in weaving; bakle; bikle put something across something else; out of condition; in bad mood; wood (used for firewood); where wood is collected for charcoal; red heron; babakse; be able with others; fence; put up fence; fence something in
bakulud,Bacolor; town in plain; plateau; high level rocky place
bakwe,Bakwe smoke with burning of cigarette or cigar inside mouth; babakwe
bakwit,Kind of bird
bakyum,Sonic boom (from Eng. vacuum)
bala,Course!; Thats how is!; Well; what else?!; bachelor; unmarried also used of young carabao. one who is being bachelor. born. born; birthday; responsibility; warning; concern as: you are in charge; you decide. doesnt; warn someone about something; give one responsibility; the government. bala you would think; seems; apparently. bala think so; seems so to me
balabaq,Cut something down
balag,Drop out; fall accidentally; dropping repeatedly; caused to drop; dropped; had an abortion; balag dropped
balai,Trellice; drop out; fall accidentally; dropping repeatedly; caused to drop; dropped; had an abortion; balag dropped; father of child as he stands related to the father of his childs spouse. be related as balai; arrange; abalai be made balai of someone
balakang,See dictionary entry
balang,Kind of said to be destructive to coconut trees
balangaq,Clay pot; used to cook viands. also used as nickname
balanggut,Grass or reed which grows near river banks and is used to weave and hats
balangkas,Framework; babalangkas; construct; belangkas; balangkas; abalangkas; apabalangkas
balas,See dictionary entry
balasenas,Bullet; bullets; sand; Also the name of barrio of Bacolor; feels sandy; eggplant; with the sense
balasubas,Nipa wine; selfish person
balat,Birthmark; skin (human; animal; fruit); bark; crust
balatong,Mongo bean
balatuq,Where one who has come on some good fortune all the expenses
balawe,See dictionary entry
balbal,Shattered; the left when something has shattered; abalbal; apabalbal
balbaru,Bearded person
balbas,Beard. fake beard; bearded; shave self; get shaved; let beard grow; tell someone to get shave
baldadu,Crippled; lame; baldadu; apabaldadu
baldug,Beard. fake beard; bearded; shave self; get shaved; let beard grow; tell someone to get shave; crippled; lame; baldadu; apabaldadu; fall down. bildug; fell accidentally; baldug caused to fall; baldug cause to fall; translate; let self drop behind others; -handerchief
baldugan,Lending system; called; daily
bale,Post (e
balen,House. house owner; housewife; neighbor; town. townmate; the town proper; the townspeople; related to each other as from the same town; civic
balentino,Name; Valentino
balid,See dictionary entry
baligtad,Crooked; twisted; balidbalid ungrammatical speech; errors in grammar. backwards; reversible cloth; political turncoat; one who speaks ambiguously; tumble backwards; baligtad; baligtad reverse something; turn something
balik,Woven shopping bag or basket; balik return; balik return something; return to somewhere; return something; opposite; opponent. reverse
balikubak,Dandruff
balikuku,Curved
balimbing,Person who backbites; says nice things in your presence but derogates you in your absence; somewhat sour; segmented fruit
balimbingan,Edge of ear; to flick edge of anothers ear; as punish
baling,Smelling of urine
baliq,See dictionary entry
balisa,Restless; constantly moving
balitang,See dictionary entry
balitaq,See dictionary entry
balitiq,News; clue; spread news; tell someone something; share news; someone; level; grade; rung of ladder; repair or ladder rungs; species of tree; said to be favored place of spirits; barrio of San Fernando
balobalo,Fermented delicacy
balok,See dictionary entry
balona,See dictionary entry
balsamu,Concoction; made from boiling gizzard of duck or in salt and water; Said to be remedy for appendicitis; cuffs; dibalona; balm. balsameru/ embalmer; to embalm someone; embalmed
baltang,Knowledge; people who know; know something; tabaluq dont know; take shortcut. able to be shortened; shortcut; the taking of shortcut
balu,Widow; widower
balubad,See dictionary entry
balugaq,Negrito generally used as term of opprobrium
balugbug,Ear(s); bottom of the fruit; gizzard
baluktut,Cashew (Queen of the fruits; because sits on throne); bent; curled up. in bent position; got bent; baluktut
balungus,See dictionary entry
baluq,See dictionary entry
balusbus,Babalusbus winnow; balusbus; to over the of something
balut,Aged but unhatched duck egg eaten as delicacy; snack
banahaw,Name of mountain
banal,Holy; sacred; Ding Banal The Holy Scriptures; be holy; pretend to be holy; make oneself holy
banayad,See dictionary entry
banda,Holy; sacred; Ding Banal The Holy Scriptures; be holy; pretend to be holy; make oneself holy; slow (speed; e.g. in driving); reduce speech; decelerate; band; be in possession of band; proceeding; towards; go towards; move something; something can be movedl; situated towards
bandalaq,Woven basket; large; with handles
bandi,Wealth; possessions. owner; treasurer; possessions; possess; owning; rich; richest
banduriya,Combo; usually guitar and sometimes accordion
bangal,Jar made of clay; often for holding drinking water; divide; split. babangal; binangal; division
bangaq,Hardwood; like
banggera,Storage place. child
bangiq,Rice crust; the rice at the bottom of the pot
bangkasu,Woven coverless basket; like salikap but with rounded corners
bangke,Corpse
bangko,Bank; where one stores money; put money in bank
bangkud,Toollong pole with curved bladeused for cutting bamboo; cut with bangkud; bangkud
bangkuq,See dictionary entry
banglu,Fragrant
bangnas,Stale; get stale
bangungut,Have nightmare; be affected by seizure during sleep; Sometimes fatal and said to be caused by of rice; Old folks disapprove discussing this
bangus,Disease of skin on face near mouth; sign of curse. used to tease
banlik,See dictionary entry
bansag,Silt; erosion; Name of sitio in Bacolor; silted over; alias; nickname; famous; nickname someone
bante,Guard; watch over; binte; bante; fishpond caretaker; watching place; waiting shed
banting,Guard; watch over; binte; bante; fishpond caretaker; watching place; waiting shed; wires used to brace nipa houses in typhoons; banting put up bracing wires; braced
bantu,Dilute something
bantut,See dictionary entry
banus,Furled leaf. rice delicacy of the suman type; wrapped in banus
banwa,Furled leaf. rice delicacy of the suman type; wrapped in banus; year; whole year; first year; annually; annua1ly; going on one year
banyu,Bathroom
bapa,Uncle. (./D./V.)
bara,Obstacle
baradu,Stuck; stopped up; stop something up
barag,Large lizard
baraku,Stud hog; goose; horse; carabao; human)
barandilyas,Balustrade; or the of wall with balustrade and shutters
barasu,Bicep.. brasus
barbero,See dictionary entry
barena,Drill; auger
bareta,Crowbar; use crowbar; use crowbar bareta; worked on by crowbar
bariku,Nickname for Evaristu
baril,Gun; to shoot
barkada,Barber. barbiriya barber shop; gang; ones group of one related to speaker as of same gang; make to join gang
baroki,Clay balls used as ammunition
barongga,Barongga throw something; throw at something; -can
barug,Dress; shirt; clothing; put on dress; wearing dress; dress someone; beat someone; whip
baruq,See dictionary entry
baruyaq,Fry in flour
baryu,See dictionary entry
basa,Recognized. acquaintance; akabasa
basaq,Barrio; barrio folk; be from the same barrio; read. saq; reader; wet. moist; basan wet something; soak something; something; basan rag
basiq,Alcoholic drink made from sugarcane
bastag,Consolation prize
bastardo,Child
bastun,See dictionary entry
bastus,Rude; crude; bastus the name of one of the suits of cards in monte; to act crude to someone
basu,Use glass
basulto,See dictionary entry
basura,See dictionary entry
bat,See dictionary entry
bata,Long clothing; bathrobe
batakan,Resistant; full of endurance; of wood from guava tree; shaped like seven and used in circumcisions
batal,Neck; hit in the neck
bateriya,Battery; e.g. flashlight batteries
baterul,Small bowl for sauce
batibu,Has stamina
batik,Skin blemish
bating,See dictionary entry
batu,Lost; stone; rock. sakit batu; batung sandstone; batung; stone someone
